"Nr okrÍgu";"Nr listy";"Pozycja na liúcie";"Nazwisko i imiona";"Nazwa komitetu";"P≥eÊ";"ZawÛd";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"PrzynaleønoúÊ do partii";"Poparcie";"Liczba g≥osÛw";"Procent g≥osÛw oddanych na listÍ";"Procent g≥osÛw oddanych w okrÍgu";"Czy przyznano mandat"
1;1;2;"Pawe≥ Piotr KLESZCZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"politolog";"Wroc≥aw";"026401";"m. Wroc≥aw";"cz≥onek partii politycznej: Bezpartyjni Samorzπdowcy-£πczy nas Polska";"";3397;"20,28";"0,68";"Nie"
1;1;3;"Katarzyna Aneta GRZELAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"wyøszy urzÍdnik samorzπdowy";"ZawidÛw";"022501";"m. ZawidÛw";"nie naleøy do partii politycznej";"";1330;"7,94";"0,27";"Nie"
1;1;4;"Jaros≥aw KOWALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"inøynier budownictwa";"Boles≥awiec";"020101";"m. Boles≥awiec";"nie naleøy do partii politycznej";"";896;"5,35";"0,18";"Nie"
1;1;5;"Bart≥omiej B≥aøej RODAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"rzecznik prasowy";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";495;"2,96";"0,10";"Nie"
1;1;6;"Mariusz KOZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"przedsiÍbiorca";"TrzÍsÛw";"021603";"gm. GrÍbocice";"nie naleøy do partii politycznej";"";905;"5,40";"0,18";"Nie"
1;1;7;"Alicja SZKLARSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"emeryt";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";1058;"6,32";"0,21";"Nie"
1;1;8;"Tomasz MALCZEWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"nauczyciel";"LwÛwek ålπski";"021203";"gm. LwÛwek ålπski";"nie naleøy do partii politycznej";"";394;"2,35";"0,08";"Nie"
1;1;9;"Adriana Stefania WOJDAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"specjalista administracji publicznej";"Bielawa Dolna";"022504";"gm. PieÒsk";"nie naleøy do partii politycznej";"";321;"1,92";"0,06";"Nie"
1;1;10;"Krzysztof Witold STRYNKOWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista ochrony úrodowiska";"Raczkowa";"020905";"gm. Legnickie Pole";"nie naleøy do partii politycznej";"";363;"2,17";"0,07";"Nie"
1;1;11;"Beata CASTANEDA TRUJILLO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"ekonomista";"Krotoszyce";"020903";"gm. Krotoszyce";"nie naleøy do partii politycznej";"";369;"2,20";"0,07";"Nie"
1;1;12;"Hubert Wojciech PAPAJ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista do spraw zarzπdzania";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";940;"5,61";"0,19";"Nie"
1;1;13;"Kinga G SICKA-BIA£Y";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"technik handlowiec";"TomaszÛw Boles≥awiecki";"020106";"gm. Warta Boles≥awiecka";"nie naleøy do partii politycznej";"";449;"2,68";"0,09";"Nie"
1;1;14;"Maciej Jan CIEåLA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"nauczyciel";"ChojnÛw";"020901";"m. ChojnÛw";"nie naleøy do partii politycznej";"";350;"2,09";"0,07";"Nie"
1;1;15;"Andrzej Marek MIELOCH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"politolog";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";218;"1,30";"0,04";"Nie"
1;1;16;"Izabela ZOBEL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"emerytka";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";377;"2,25";"0,08";"Nie"
1;1;17;"Wies≥aw Jan BIENIEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"emeryt";"Lubawka";"020703";"gm. Lubawka";"nie naleøy do partii politycznej";"";272;"1,62";"0,05";"Nie"
1;1;18;"Agata Agnieszka KANAS-PASTWA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";182;"1,09";"0,04";"Nie"
1;1;19;"Karol KUSIBAB";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista administracji publicznej";"Leúna";"021003";"gm. Leúna";"nie naleøy do partii politycznej";"";667;"3,98";"0,13";"Nie"
1;1;20;"Tomasz Stanis≥aw KAPRAL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"gÛrnik";"Z≥otoryja";"022602";"m. Z≥otoryja";"nie naleøy do partii politycznej";"";220;"1,31";"0,04";"Nie"
1;1;21;"Aleksandra WACH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"specjalista administracji publicznej";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";410;"2,45";"0,08";"Nie"
1;1;22;"Ignacy PI TA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"emeryt";"Marcinowice";"020504";"gm. MúciwojÛw";"nie naleøy do partii politycznej";"";235;"1,40";"0,05";"Nie"
1;1;23;"Edyta TECLAF-ZAWADZKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"poúrednik w obrocie nieruchomoúciami";"Mrzeøyno";"320508";"gm. TrzebiatÛw";"nie naleøy do partii politycznej";"";137;"0,82";"0,03";"Nie"
1;1;24;"Norbert Romuald H£ADKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"inøynier organizacji i planowania produkcji";"Zgorzelec";"022502";"m. Zgorzelec";"nie naleøy do partii politycznej";"";324;"1,93";"0,06";"Nie"
1;2;1;"Tadeusz SAMBORSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"emeryt";"RogÛw Legnicki";"020907";"gm. Prochowice";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";16120;"29,88";"3,21";"Tak"
1;2;2;"Jan WOJTOWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"wyøszy urzÍdnik samorzπdowy";"Biedrzychowa";"021604";"gm. Polkowice";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";8117;"15,04";"1,62";"Nie"
1;2;3;"Mariola SZCZ SNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"przedstawiciel w≥adzy samorzπdowej";"Mojesz";"021203";"gm. LwÛwek ålπski";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";7639;"14,16";"1,52";"Nie"
1;2;4;"Krystyna Henryka BARCIK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";2033;"3,77";"0,41";"Nie"
1;2;5;"Artur Andrzej JURKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"przedstawiciel w≥adzy samorzπdowej";"Ruszowice";"020302";"gm. G≥ogÛw";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";1443;"2,67";"0,29";"Nie"
1;2;6;"Arkadiusz Pawe≥ ROJEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"politolog";"G≥ogÛw";"020301";"m. G≥ogÛw";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";1294;"2,40";"0,26";"Nie"
1;2;7;"Olga BURDYNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"ØeliszÛw";"020102";"gm. Boles≥awiec";"nie naleøy do partii politycznej";"";2059;"3,82";"0,41";"Nie"
1;2;8;"Jacek Pawe≥ SUBOCZEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"nauczyciel";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";1210;"2,24";"0,24";"Nie"
1;2;9;"Zofia RAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"GryfÛw ålπski";"021201";"gm. GryfÛw ålπski";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";1983;"3,68";"0,40";"Nie"
1;2;10;"Waldemar KUBAS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"dyrektor logistyki";"Olbrachtowice";"022307";"gm. SobÛtka";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";985;"1,83";"0,20";"Nie"
1;2;11;"Jan Franciszek GRYGORCEWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"emeryt";"Granowice";"020506";"gm. Wπdroøe Wielkie";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";797;"1,48";"0,16";"Nie"
1;2;12;"Edyta Rozalia KRAJNIAK-BURBA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"doradca handlowy";"Zgorzelec";"022502";"m. Zgorzelec";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";973;"1,80";"0,19";"Nie"
